iter	Logloss
198	0.268331144
199	0.2683095473
200	0.2683009078
201	0.2682867155
202	0.2682836558
203	0.2682770275
204	0.2682680322
205	0.2682577385
206	0.2682396288
207	0.2682309051
208	0.2682234979
209	0.2682178742
210	0.2682091318
211	0.2682027601
212	0.2681939924
213	0.2681792342
214	0.2681647982
215	0.268150645
216	0.2681372812
217	0.2681168983
218	0.2681090542
219	0.268100506
220	0.2680863104
221	0.2680811529
222	0.2680775084
223	0.2680695794
224	0.2680632635
225	0.2680475937
226	0.268032467
227	0.2680212416
228	0.2680115182
229	0.267999809
230	0.2679889781
231	0.2679802725
232	0.2679604244
233	0.2679487824
234	0.2679332855
235	0.2679197121
236	0.2679061362
237	0.2678915882
238	0.2678660419
239	0.2678444968
240	0.2678426844
241	0.2678281395
242	0.2678233543
243	0.2678210585
244	0.2678091192
245	0.2678032464
246	0.2677878066
247	0.2677744906
248	0.2677565903
249	0.2677390554
250	0.2677223423
251	0.2677136596
252	0.2677019601
253	0.2676898417
254	0.2676707525
255	0.2676438747
256	0.2676367955
257	0.2676321914
258	0.2676280325
259	0.2676149262
260	0.2675996295
261	0.2675875129
262	0.2675847447
263	0.2675719629
264	0.2675518247
265	0.2675435209
266	0.2675191922
267	0.2675014878
268	0.2674899958
269	0.2674870321
270	0.2674711592
271	0.2674574809
272	0.2674520836
273	0.2674448887
274	0.2674347757
275	0.2674108825
276	0.2674042145
277	0.2673882022
278	0.2673669161
279	0.267350035
280	0.2673380701
281	0.2673313518
282	0.267320058
283	0.2673055357
284	0.2672880191
285	0.2672772934
286	0.2672705601
287	0.2672505425
288	0.2672489221
289	0.2672311144
290	0.2672139264
291	0.2671958589
292	0.2671804369
293	0.2671754171
294	0.2671638851
295	0.2671568223
296	0.267140735
297	0.2671267223
298	0.2671251406
299	0.2671120609
300	0.2671077671
301	0.26708595
302	0.2670704554
303	0.2670663812
304	0.2670650066
305	0.2670478349
306	0.2670337942
307	0.267013751
308	0.2669984072
309	0.2669971459
310	0.266995737
311	0.2669797537
312	0.2669785312
313	0.2669651354
314	0.2669408683
315	0.2669286246
316	0.266916159
317	0.2668980706
318	0.2668843049
319	0.2668699583
320	0.2668558432
321	0.2668387958
322	0.2668258155
323	0.2667996635
324	0.2667943223
325	0.2667850422
326	0.2667727214
327	0.2667560574
328	0.2667404903
329	0.2667234299
330	0.2667118752
331	0.2666973743
332	0.2666875248
333	0.2666809315
334	0.2666797599
335	0.2666666249
336	0.266646392
337	0.2666343253
338	0.2666192409
339	0.2666024398
340	0.2665913892
341	0.2665817667
342	0.266569918
343	0.2665542833
344	0.2665380064
345	0.2665346916
346	0.2665201436
347	0.2665064147
348	0.266494385
349	0.266482746
350	0.2664758319
351	0.2664674974
352	0.2664624241
353	0.2664515313
354	0.2664368927
355	0.2664183846
356	0.2664077271
357	0.2663931728
358	0.266375563
359	0.2663558655
360	0.2663438145
361	0.2663427664
362	0.2663248869
363	0.2663153345
364	0.2662984566
365	0.2662858543
366	0.2662685502
367	0.2662597148
368	0.2662413146
369	0.2662281438
370	0.2662144706
371	0.2662057071
372	0.2661953868
373	0.2661826336
374	0.2661735048
375	0.2661610679
376	0.2661497227
377	0.2661442626
378	0.2661297518
379	0.266121854
380	0.2661011916
381	0.2660884492
382	0.2660742562
383	0.2660627371
384	0.266059766
385	0.2660463317
386	0.2660334321
387	0.2660170184
388	0.2660057985
389	0.265998435
390	0.265985549
391	0.2659794104
392	0.2659711584
393	0.2659643747
394	0.2659522981
395	0.2659402571
396	0.2659297213
397	0.2659144946
398	0.2658998551
399	0.2658834375
400	0.2658724671
401	0.2658538582
402	0.2658456186
403	0.2658322517
404	0.2658163923
405	0.2657990715
406	0.26578907
407	0.2657764347
408	0.265763424
409	0.2657458018
410	0.265740468
411	0.2657291459
412	0.2657187288
413	0.2657067725
414	0.2656976348
415	0.2656808499
416	0.2656672888
417	0.2656458517
418	0.2656341689
419	0.2656157631
420	0.2655999729
421	0.2655941785
422	0.2655771001
423	0.2655647141
424	0.2655538162
425	0.2655359644
426	0.2655221782
427	0.2655123511
428	0.265498577
429	0.2654904575
430	0.2654795934
431	0.265457606
432	0.2654419149
433	0.2654288663
434	0.2654134183
435	0.2654086909
436	0.2653957376
437	0.2653886534
438	0.2653688184
439	0.2653532193
440	0.2653394714
441	0.2653281915
442	0.2653231526
443	0.2653094959
444	0.2652977775
445	0.2652830433
446	0.2652709732
447	0.2652561229
448	0.2652430662
449	0.2652293941
450	0.2652191361
451	0.2652065778
452	0.2651961496
453	0.2651842839
454	0.2651690258
455	0.265157765
456	0.2651534105
457	0.2651434423
458	0.2651282911
459	0.2651233488
460	0.2651149752
461	0.2650995857
462	0.2650875022
463	0.265076715
464	0.2650697949
465	0.2650655096
466	0.2650625247
467	0.2650401497
468	0.2650345375
469	0.2650275504
470	0.2650108879
471	0.265006163
472	0.2649869782
473	0.2649812169
474	0.2649679529
475	0.2649554358
476	0.264953051
477	0.2649390603
478	0.2649318578
479	0.2649210526
480	0.2649119081
481	0.2648938626
482	0.2648917545
483	0.2648808548
484	0.2648761315
485	0.2648615958
486	0.2648467056
487	0.2648347357
488	0.2648189043
489	0.2648091712
490	0.264800972
491	0.2647851896
492	0.2647807564
493	0.2647704717
494	0.264760102
495	0.2647475986
496	0.2647344754
497	0.264719346
498	0.2647131646
499	0.2647023959
